14.01.2020 18:20:11:815		Wait connection started , pupils - 1
14.01.2020 18:20:11:818		Listen data is start
14.01.2020 18:20:23:679		Send OK to try-connection request
14.01.2020 18:20:35:475		47
14.01.2020 18:20:35:475		7
14.01.2020 18:20:35:476		5
14.01.2020 18:20:35:476		63
14.01.2020 18:20:35:476		35
14.01.2020 18:20:35:477		20
14.01.2020 18:20:35:477		20
14.01.2020 18:20:35:478		20
14.01.2020 18:20:35:478		46
14.01.2020 18:20:35:478		2
14.01.2020 18:20:35:479		44
14.01.2020 18:20:35:479		59
14.01.2020 18:20:35:479		56
14.01.2020 18:20:35:480		31
14.01.2020 18:20:35:480		44
14.01.2020 18:20:35:481		48
14.01.2020 18:20:35:481		56
14.01.2020 18:20:35:481		19
14.01.2020 18:20:35:482		37
14.01.2020 18:20:35:482		14
14.01.2020 18:20:35:482		39
14.01.2020 18:20:35:483		60
14.01.2020 18:20:35:483		37
14.01.2020 18:20:35:484		59
14.01.2020 18:20:35:484		52
14.01.2020 18:20:35:484		38
14.01.2020 18:20:35:485		53
14.01.2020 18:20:35:485		59
14.01.2020 18:20:35:486		18
14.01.2020 18:20:35:486		15
14.01.2020 18:20:35:486		5
14.01.2020 18:20:35:487		13
14.01.2020 18:20:35:487		44
14.01.2020 18:20:35:487		25
14.01.2020 18:20:35:488		54
14.01.2020 18:20:35:489		39
14.01.2020 18:20:35:489		59
14.01.2020 18:20:35:490		9
14.01.2020 18:20:35:490		62
14.01.2020 18:20:35:491		16
14.01.2020 18:20:35:491		43
14.01.2020 18:20:35:492		30
14.01.2020 18:20:35:492		28
14.01.2020 18:20:35:493		36
14.01.2020 18:20:35:493		5
14.01.2020 18:20:35:494		16
14.01.2020 18:20:35:494		23
14.01.2020 18:20:35:494		57
14.01.2020 18:20:35:495		25
14.01.2020 18:20:35:495		19
14.01.2020 18:20:35:496		63
14.01.2020 18:20:35:496		26
14.01.2020 18:20:35:496		53
14.01.2020 18:20:35:497		43
14.01.2020 18:20:35:497		13
14.01.2020 18:20:35:497		51
14.01.2020 18:20:35:498		34
14.01.2020 18:20:35:498		9
14.01.2020 18:20:35:499		11
14.01.2020 18:20:35:499		61
14.01.2020 18:20:35:499		30
14.01.2020 18:20:35:500		25
14.01.2020 18:20:35:500		2
14.01.2020 18:20:35:501		31
14.01.2020 18:20:35:501		61
14.01.2020 18:20:35:501		31
14.01.2020 18:20:35:502		14
14.01.2020 18:20:35:502		31
14.01.2020 18:20:35:502		40
14.01.2020 18:20:35:503		4
14.01.2020 18:20:35:503		53
14.01.2020 18:20:35:503		46
14.01.2020 18:20:35:504		20
14.01.2020 18:20:35:504		  
14.01.2020 18:20:35:506		Pupil 0 data is get
14.01.2020 18:20:35:507		Wait connection end , all pupils send data
14.01.2020 18:20:44:761		Form server is close
