07.02.2021 14:41:00:583		List of lesson is rewrited
07.02.2021 14:41:14:292		Added to pupil list:no
07.02.2021 14:41:14:328		Next clicked
07.02.2021 14:41:14:329		Added to pupil list:no
07.02.2021 14:41:14:357		Next clicked
07.02.2021 14:41:14:357		Added to pupil list:no
07.02.2021 14:41:14:388		Next clicked
07.02.2021 14:41:14:389		Added to pupil list:no
07.02.2021 14:41:14:422		Next clicked
07.02.2021 14:41:14:423		Added to pupil list:no
07.02.2021 14:41:14:464		Picture load failed , load error picture
07.02.2021 14:41:14:466		Next clicked
07.02.2021 14:41:14:468		Picture load failed , load error picture
07.02.2021 14:41:14:489		Next clicked
07.02.2021 14:41:14:529		Picture load failed , load error picture
07.02.2021 14:41:14:533		Next clicked
07.02.2021 14:41:14:533		Added to pupil list:no
07.02.2021 14:41:14:536		Picture load failed , load error picture
07.02.2021 14:41:14:551		Next clicked
07.02.2021 14:41:14:552		Added to pupil list:no
07.02.2021 14:41:14:555		Picture load failed , load error picture
07.02.2021 14:41:14:582		Next clicked
07.02.2021 14:41:14:583		Added to pupil list:no
07.02.2021 14:41:14:594		Picture load failed , load error picture
07.02.2021 14:41:14:613		Next clicked
07.02.2021 14:41:14:614		Added to pupil list:no
07.02.2021 14:41:14:624		Picture load failed , load error picture
07.02.2021 14:41:14:645		Next clicked
07.02.2021 14:41:14:645		Added to pupil list:no
07.02.2021 14:41:14:647		Picture load failed , load error picture
07.02.2021 14:41:14:676		Next clicked
07.02.2021 14:41:14:676		Added to pupil list:no
07.02.2021 14:41:14:678		Picture load failed , load error picture
07.02.2021 14:41:14:709		Next clicked
07.02.2021 14:41:14:710		Added to pupil list:no
07.02.2021 14:41:14:724		Picture load failed , load error picture
07.02.2021 14:41:14:740		Next clicked
07.02.2021 14:41:14:741		Added to pupil list:no
07.02.2021 14:41:14:753		Picture load failed , load error picture
07.02.2021 14:41:15:27		Next clicked
07.02.2021 14:41:15:28		Added to pupil list:no
07.02.2021 14:41:15:30		Picture load failed , load error picture
07.02.2021 14:41:15:528		Next clicked
07.02.2021 14:41:15:529		Added to pupil list:no
07.02.2021 14:41:15:531		Picture load failed , load error picture
07.02.2021 14:41:15:559		Next clicked
07.02.2021 14:41:15:559		Added to pupil list:no
07.02.2021 14:41:15:573		Picture load failed , load error picture
07.02.2021 14:41:15:591		Next clicked
07.02.2021 14:41:15:591		Added to pupil list:no
07.02.2021 14:41:15:594		Picture load failed , load error picture
07.02.2021 14:41:15:621		Next clicked
07.02.2021 14:41:15:622		Added to pupil list:no
07.02.2021 14:41:15:624		Picture load failed , load error picture
07.02.2021 14:41:15:655		Next clicked
07.02.2021 14:41:15:655		Added to pupil list:no
07.02.2021 14:41:15:658		Picture load failed , load error picture
07.02.2021 14:41:15:687		Next clicked
07.02.2021 14:41:15:687		Added to pupil list:no
07.02.2021 14:41:15:689		Picture load failed , load error picture
07.02.2021 14:41:15:717		Next clicked
07.02.2021 14:41:15:718		Added to pupil list:no
07.02.2021 14:41:15:725		Picture load failed , load error picture
07.02.2021 14:41:15:752		Next clicked
07.02.2021 14:41:15:753		Added to pupil list:no
07.02.2021 14:41:15:786		Next clicked
07.02.2021 14:41:15:787		Added to pupil list:no
07.02.2021 14:41:15:798		Picture load failed , load error picture
07.02.2021 14:41:15:817		Next clicked
07.02.2021 14:41:15:818		Added to pupil list:no
07.02.2021 14:41:15:855		Picture load failed , load error picture
07.02.2021 14:41:15:857		Next clicked
07.02.2021 14:41:15:881		Picture load failed , load error picture
07.02.2021 14:41:15:883		Next clicked
07.02.2021 14:41:15:884		Added to pupil list:no
07.02.2021 14:41:15:895		Picture load failed , load error picture
07.02.2021 14:41:15:913		Next clicked
07.02.2021 14:41:15:913		Added to pupil list:no
07.02.2021 14:41:15:915		Picture load failed , load error picture
07.02.2021 14:41:15:944		Next clicked
07.02.2021 14:41:15:945		Added to pupil list:no
07.02.2021 14:41:15:958		Picture load failed , load error picture
07.02.2021 14:41:15:976		Next clicked
07.02.2021 14:41:15:976		Added to pupil list:no
07.02.2021 14:41:15:987		Picture load failed , load error picture
07.02.2021 14:41:16:7		Next clicked
07.02.2021 14:41:16:7		Added to pupil list:no
07.02.2021 14:41:16:9		Picture load failed , load error picture
07.02.2021 14:41:16:38		Next clicked
07.02.2021 14:41:16:40		Added to pupil list:no
07.02.2021 14:41:16:42		Picture load failed , load error picture
07.02.2021 14:41:16:71		Next clicked
07.02.2021 14:41:16:71		Added to pupil list:no
07.02.2021 14:41:16:82		Picture load failed , load error picture
07.02.2021 14:41:16:321		Next clicked
07.02.2021 14:41:16:321		Added to pupil list:no
07.02.2021 14:41:16:323		Picture load failed , load error picture
07.02.2021 14:41:16:820		Next clicked
07.02.2021 14:41:16:820		Added to pupil list:no
07.02.2021 14:41:16:822		Picture load failed , load error picture
07.02.2021 14:41:16:854		Next clicked
07.02.2021 14:41:16:854		Added to pupil list:no
07.02.2021 14:41:16:856		Picture load failed , load error picture
07.02.2021 14:41:16:888		Next clicked
07.02.2021 14:41:16:889		Added to pupil list:no
07.02.2021 14:41:16:892		Picture load failed , load error picture
07.02.2021 14:41:16:919		Next clicked
07.02.2021 14:41:16:919		Added to pupil list:no
07.02.2021 14:41:16:921		Picture load failed , load error picture
07.02.2021 14:41:16:949		Next clicked
07.02.2021 14:41:16:949		Added to pupil list:no
07.02.2021 14:41:16:982		Next clicked
07.02.2021 14:41:16:982		Added to pupil list:no
07.02.2021 14:41:16:986		Picture load failed , load error picture
07.02.2021 14:41:17:13		Next clicked
07.02.2021 14:41:17:14		Added to pupil list:no
07.02.2021 14:41:17:49		Picture load failed , load error picture
07.02.2021 14:41:17:51		Next clicked
07.02.2021 14:41:17:77		Picture load failed , load error picture
07.02.2021 14:41:17:79		Next clicked
07.02.2021 14:41:17:80		Added to pupil list:no
07.02.2021 14:41:17:81		Picture load failed , load error picture
07.02.2021 14:41:17:107		Next clicked
07.02.2021 14:41:17:107		Added to pupil list:no
07.02.2021 14:41:17:109		Picture load failed , load error picture
07.02.2021 14:41:17:140		Next clicked
07.02.2021 14:41:17:141		Added to pupil list:no
07.02.2021 14:41:17:171		Next clicked
07.02.2021 14:41:17:172		Added to pupil list:no
07.02.2021 14:41:17:173		Picture load failed , load error picture
07.02.2021 14:41:17:203		Next clicked
07.02.2021 14:41:17:203		Added to pupil list:no
07.02.2021 14:41:17:238		Picture load failed , load error picture
07.02.2021 14:41:17:239		Next clicked
07.02.2021 14:41:17:263		Picture load failed , load error picture
07.02.2021 14:41:17:272		Next clicked
07.02.2021 14:41:17:272		Added to pupil list:no
07.02.2021 14:41:17:274		Picture load failed , load error picture
07.02.2021 14:41:17:303		Next clicked
07.02.2021 14:41:17:303		Added to pupil list:no
07.02.2021 14:41:17:304		Picture load failed , load error picture
07.02.2021 14:41:17:670		Next clicked
07.02.2021 14:41:17:670		Added to pupil list:no
07.02.2021 14:41:18:251		Next clicked
07.02.2021 14:41:18:251		Added to pupil list:no
07.02.2021 14:41:19:278		Next clicked
07.02.2021 14:41:19:278		Added to pupil list:no
07.02.2021 14:41:19:309		Save local end.Path: Tests\Save.sav
07.02.2021 14:41:19:528		1261
07.02.2021 14:41:19:529		Data send is end sucseed
07.02.2021 14:41:21:54		End of test
